"console","genre","publisher","developer","critic_score","total_sales","release_month"
"PS2","Sports","Activision","Shaba Games",6.6,0.87,11
"X360","Action-Adventure","Square Enix","United Front Games",7.9,0.87,8
"WiiU","Action-Adventure","Nintendo","Intelligent Systems",7.4,0.87,10
"NS","Puzzle","Konami Digital Entertainment","HexaDrive",6.3,0.87,3
"WiiU","Misc","Nintendo","Nintendo",7.2,0.86,1
"X360","Misc","Activision","Neversoft Entertainment",7.1,0.86,9
"PSP","Puzzle","Sony Computer Entertainment","Team17 Software",7.3,0.86,5
"PSP","Sports","Konami","Konami Computer Entertainment Tokyo",8.2,0.86,2
"PS3","Action-Adventure","THQ","Vigil Games",8.3,0.85,8
"PS2","Platform","THQ","Asobo Studio",6,0.85,6
"PS3","Fighting","Atari","Dimps Corporation",7.3,0.85,6
"PS3","Sports","EA Sports","EA Tiburon",8.5,0.85,7
"PS","Fighting","Capcom","Capcom",8.2,0.85,9
"PSP","Racing","Electronic Arts","Criterion Games",8.4,0.85,9
"Wii","Action","Eidos Interactive","Crystal Dynamics",6.8,0.85,11
"X360","Sports","EA Sports","EA Canada",8.4,0.85,4
"PS3","Action","Tecmo Koei","Team Ninja",8.5,0.85,9
"DS","Platform","Nintendo","TOSE Software",7.1,0.85,6
"Wii","Shooter","Sega","Headstrong Games",7.9,0.85,2
"PS3","Shooter","Electronic Arts","EA Montreal",7.1,0.85,1
"GBA","Adventure","Nintendo","Nintendo R&D1",8.9,0.84,2
"PS3","Action","Atari","Terminal Reality",7.8,0.84,6
"Wii","Simulation","Ubisoft","Ubisoft Romania",4.7,0.84,3
"PS3","Sports","2K Sports","Visual Concepts",8.2,0.84,10
"WiiU","Action","Ubisoft","Ubisoft Montpellier",6.9,0.84,11
"WiiU","Role-Playing","Nintendo","Monolith Soft",8.1,0.84,12
"PS2","Role-Playing","Sony Computer Entertainment","Level 5",8.3,0.84,1
"PS3","Sports","Electronic Arts","EA Black Box",8.2,0.84,1
"GC","Action","Activision","Treyarch",7.7,0.84,6
"GC","Action","THQ","Heavy Iron Studios",6.2,0.84,10
"PS3","Sports","Sony Computer Entertainment America","SCE San Diego Studio",8.5,0.84,3
"X360","Shooter","505 Games","Rebellion Developments",7,0.84,5
"XOne","Sports","EA Sports","EA Tiburon",7.1,0.83,11
"Wii","Racing","Electronic Arts","EA Montreal",7,0.83,11
"Wii","Shooter","Activision","Infinity Ward",4.5,0.83,11
"X360","Strategy","2K Games","Firaxis Games",8.4,0.83,7
"PS3","Role-Playing","Electronic Arts","BioWare Corp.",7.7,0.83,3
"PS","Adventure","Interplay","Funcom",4.9,0.83,9
"PSP","Sports","EA Sports","EA Tiburon",8.3,0.83,8
"PS3","Action","Sony Computer Entertainment","Eat Sleep Play",7.9,0.83,2
"PS3","Sports","EA Sports","EA Tiburon",7.9,0.83,6
"PS3","Fighting","Namco Bandai","Spike",6,0.83,11
"PS3","Sports","EA Sports","EA Tiburon",7.7,0.83,7
"X360","Shooter","2K Games","Gearbox Software",4.3,0.83,6
"PS3","Shooter","City Interactive","City Interactive",4.5,0.83,6
"PS3","Shooter","Namco Bandai","Bandai Namco Games",6.1,0.83,11
"Wii","Fighting","THQ","Yuke's Media Creations",8.2,0.83,11
"GB","Misc","Konami","KCEJ",6.2,0.83,3
"X360","Misc","Activision","FreeStyle Games",8.5,0.83,10
"X360","Shooter","Midway Games","Midway Games",8,0.83,9
"PSP","Sports","Activision","Shaba Games",8.5,0.82,3
"GC","Sports","Activision","Neversoft Entertainment",9.1,0.82,11
"XB","Racing","Electronic Arts","EA Black Box",8.2,0.82,10
"PSP","Adventure","Sony Computer Entertainment","SCEE",6.5,0.82,9
"PS4","Racing","Ubisoft","Ivory Tower",6.5,0.82,6
"PS3","Role-Playing","Warner Bros. Interactive","Snowblind Studios",6.5,0.82,11
"PS2","Role-Playing","Activision","Raven Software",8.1,0.82,10
"PSP","Platform","Sony Computer Entertainment","Pyramid/JAPAN Studio",8.7,0.82,2
"PS3","Adventure","Telltale Games","Telltale Games",9.7,0.82,11
"3DS","Adventure","Nintendo","Level 5",8.1,0.82,8
"PS","Role-Playing","Namco","Telenet Japan / Wolfteam",7.5,0.81,9
"X360","Sports","Konami","Konami",7,0.81,11
"PS3","Sports","EA Sports","EA Tiburon",8.1,0.81,7
"PS2","Fighting","Midway Games","Midway Games",7.9,0.81,10
"GC","Adventure","Nintendo","Nintendo EAD",8.4,0.81,6
"N64","Shooter","3DO","3DO",4.2,0.81,9
"PS3","Sports","EA Sports","EA Tiburon",8,0.81,8
"DS","Role-Playing","Nintendo","Camelot Software Planning",8,0.81,11
"3DS","Puzzle","Nintendo","Level 5",8,0.81,2
"X360","Sports","Ubisoft","Ubisoft Montreal",6.2,0.81,11
"PS3","Action-Adventure","Activision","Beenox",7.3,0.8,6
"X360","Misc","Activision","Neversoft Entertainment",8.5,0.8,3
"Wii","Action","LucasArts","Krome Studios",4.8,0.8,10
"PS","Role-Playing","Square EA","SquareSoft",8.6,0.8,9
"WiiU","Sports","Nintendo","Sega Sports R&D",5.9,0.8,11
"GC","Racing","Electronic Arts","EA Seattle",7.5,0.8,10
"X360","Racing","Codemasters","Codemasters",8.8,0.8,9
"GC","Simulation","LucasArts","Factor 5",8.3,0.8,10
"PSP","Simulation","Electronic Arts","Maxis",5.8,0.8,12
"PSP","Sports","Konami","Konami",7.3,0.8,11
"X360","Action-Adventure","THQ","Vigil Games",8.6,0.79,8
"PS","Racing","Namco","Namco",9,0.79,9
"PSP","Strategy","Sony Computer Entertainment","Novarama",6.6,0.79,10
"GC","Role-Playing","Natsume","Marvelous Interactive",8.2,0.79,3
"X360","Misc","Deep Silver","Techland",5.6,0.79,4
"X360","Adventure","Electronic Arts","EA Redwood Shores",6.2,0.79,4
"X360","Misc","Activision","Neversoft Entertainment",7.6,0.79,11
"GC","Shooter","Electronic Arts","Eurocom Entertainment Software",8.1,0.78,11
"PS3","Shooter","Activision","Eurocom",7.4,0.78,11
"Wii","Action","Sega","PlatinumGames",8.1,0.78,3
"PS4","Racing","Codemasters","Codemasters",8,0.78,1
"PSP","Racing","Electronic Arts","EA Black Box",5.6,0.78,2
"X360","Fighting","EA Sports","EA Canada",8.4,0.78,3
"X360","Fighting","Namco Bandai","CyberConnect2",7.6,0.78,10
"PS3","Sports","EA Sports","EA Tiburon",8.4,0.78,6
"PS2","Sports","2K Sports","Visual Concepts",8.2,0.78,9
"PS3","Misc","Activision","FreeStyle Games",8.4,0.78,10
"Wii","Misc","Activision","FreeStyleGames",8.6,0.78,10
"X360","Role-Playing","Microsoft Game Studios","Silicon Knights",6.5,0.78,8
"X360","Platform","Ubisoft","Ubisoft",9,0.78,11
"PS3","Strategy","2K Games","Firaxis Games",8.4,0.78,7
"Wii","Action","LucasArts","LucasArts",7.5,0.78,10
"X360","Action","Ubisoft","Ubisoft Shanghai",8.5,0.78,10
"PC","Shooter","Electronic Arts","EA DICE",9.1,0.77,10
"Wii","Shooter","Sega","Polygon Magic",7,0.77,11
"PSP","Shooter","LucasArts","Savage Entertainment",6,0.77,11
"X360","Racing","Sega","Sumo Digital",7.7,0.77,2
"X360","Sports","THQ","THQ",6,0.77,6
"PS3","Fighting","Namco Bandai","Spike",5.6,0.77,11
"DS","Racing","Nintendo","Ambrella",5.3,0.77,3
"N64","Platform","Rare","Rare Ltd.",9.2,0.77,3
"PS2","Platform","Capcom","Capcom",8.7,0.77,2
"GBA","Platform","Nintendo","Rare Ltd.",7.5,0.77,11
"X360","Action","Ubisoft","Ubisoft Montreal",6,0.77,12
"X360","Misc","Microsoft Game Studios","iNiS",7.1,0.77,11
"PSP","Action","Sony Computer Entertainment","Incognito Inc.",7.5,0.77,3
"PS","Racing","EA Sports","Stormfront Studios",7.3,0.77,11
"PSP","Racing","Electronic Arts","Piranha Games",5.4,0.77,11
"3DS","Simulation","Electronic Arts","The Sims Studio",5.6,0.77,3
"X360","Shooter","Capcom","Capcom",6.5,0.76,5
"NS","Music","Ubisoft","Ubisoft Paris",8,0.76,10
"X360","Shooter","Eidos Interactive","IO Interactive",6.8,0.76,11
"XB","Fighting","Midway Games","Midway Games",7.4,0.76,10
"PS2","Fighting","Capcom","Capcom",8.2,0.76,11
"PS2","Platform","Sega","Sonic Team/Dimps Corporation",7,0.76,11
"X360","Platform","Microsoft Game Studios","Rare Ltd.",8,0.76,11
"N64","Sports","Activision","Edge of Reality",8.5,0.76,8
"PS3","Misc","Activision","Neversoft Entertainment",7.6,0.76,11
"PS3","Action","Capcom","Capcom",7.6,0.76,5
"GB","Role-Playing","Square","SquareSoft",7,0.76,9
"Wii","Action","Electronic Arts","Bright Light Productions",6,0.76,6
"X360","Action","Disney Interactive Studios","Avalanche Software",7.5,0.76,6
"PS3","Shooter","2K Games","Gearbox Software",4.4,0.76,6
"Wii","Action-Adventure","Nintendo","Creatures Inc.",6.5,0.76,2
"X360","Sports","Rockstar Games","Rockstar San Diego",8.1,0.75,5
"PS4","Platform","Warner Bros. Interactive Entertainment","TT Fusion",8,0.75,4
"PS2","Platform","THQ","Asobo Studio",7.5,0.75,6
"DS","Role-Playing","Disney Interactive Studios","Jupiter Corporation",6.2,0.75,3
"PS2","Simulation","Konami","Konami Computer Entertainment Japan",7.5,0.75,3
"NS","Sports","Electronic Arts","EA Sports",5.9,0.75,9
"PSP","Sports","EA Sports","EA Tiburon",7.9,0.75,9
"PSP","Shooter","Ubisoft","Ubisoft Montreal",5.8,0.75,6
"PS2","Fighting","Capcom","Capcom",7.9,0.75,11
"X360","Shooter","Touchstone","Propaganda Games",6.6,0.75,2
"PS4","Action-Adventure","Disney Interactive Studios","Avalanche Software",8,0.75,9
"PS3","Shooter","Eidos Interactive","IO Interactive",6.8,0.75,11
"PSP","Shooter","Konami","Konami",6.1,0.75,7
"Wii","Puzzle","THQ","Planet Moon Studios",5.8,0.75,10
"PSP","Fighting","THQ","Yuke's Media Creations",7.9,0.75,11
"PS3","Action","Electronic Arts","Pandemic Studios",5.8,0.75,1
"PS3","Action","Sony Computer Entertainment","Game Republic",5,0.75,11
"X360","Action-Adventure","Activision","Beenox",6.8,0.74,6
"PS3","Action","Namco Bandai","Project ACES",7.5,0.74,10
"PS3","Action","Activision","Raven Software",7,0.74,5
"DS","Sports","Sega","Sumo Digital",6.2,0.74,3
"PS3","Shooter","THQ","Volition Inc.",8.6,0.74,6
"PS3","Role-Playing","Activision","Vicarious Visions",7.8,0.74,9
"PS3","Role-Playing","Sega","tri-Ace",7.5,0.74,3
"X360","Role-Playing","Namco Bandai","Namco Tales Studio",8.1,0.74,8
"XOne","Racing","Electronic Arts","Ghost Games",6.7,0.74,11
"PSP","Fighting","Midway Games","JGI Entertainment",7,0.74,11
"PS3","Adventure","Electronic Arts","EA Redwood Shores",6.4,0.74,4
"NS","Platform","Sega","Sonic Team",5.4,0.74,11
"XOne","Racing","Electronic Arts","Ghost Games",5.9,0.73,11
"Wii","Fighting","THQ","JAKKS Pacific",7.8,0.73,10
"PS2","Puzzle","Namco","Namco",8.5,0.73,9
"PS3","Shooter","Bethesda Softworks","Splash Damage",7.1,0.73,5
"X360","Role-Playing","Square Enix","Square Enix",7.9,0.73,1
"PS3","Role-Playing","Square Enix","tri-Ace",8.1,0.73,2
"X360","Sports","Electronic Arts","Electronic Arts",8,0.73,7
"PS3","Sports","Sony Computer Entertainment","SCEA San Diego Studios",8.6,0.73,3
"X360","Sports","EA Sports","EA Canada",8.8,0.73,9
"Wii","Sports","EA Sports","EA Tiburon",6.8,0.73,8
"PS4","Sports","Sony Computer Entertainment","SCE San Diego Studio",8.3,0.73,5
"PC","Shooter","Electronic Arts","Crytek",8.7,0.73,3
"PS3","Sports","Sony Computer Entertainment","SCE San Diego Studio",8.9,0.72,3
"Wii","Action","LucasArts","Artificial Mind and Movement",5.1,0.72,6
"NS","Action","Capcom","Capcom",7.7,0.72,8
"PC","Strategy","2K Games","Firaxis Games",9,0.72,10
"PS3","Racing","Activision","Bizarre Creations",8.3,0.72,5
"X360","Racing","Codemasters","Codemasters Birmingham",8.5,0.72,9
"X360","Racing","THQ","Rainbow Studios",7.4,0.72,12
"GC","Shooter","Electronic Arts","EA Redwood Shores",7.5,0.72,3
"DS","Platform","Ubisoft","Ubisoft Montpellier",8.8,0.72,11
"DS","Platform","Nintendo","HAL Laboratory",8.9,0.72,6
"PC","Shooter","Electronic Arts","EA Digital Illusions CE",8.8,0.72,3
"Wii","Action","Ubisoft","Ubisoft Montreal",5.9,0.72,12
"PS2","Sports","EA Sports","EA Redwood Shores",7.8,0.72,10
"Wii","Sports","EA Sports","EA Tiburon",7.5,0.72,8
"PSP","Sports","EA Sports","EA Tiburon",7.3,0.71,8
"PSP","Sports","EA Sports","EA Tiburon",6.9,0.71,8
"N64","Action","Nintendo","Rare Ltd.",9.1,0.71,2
"PS2","Fighting","Sega","Sega-AM2",8.9,0.71,8
"PSV","Fighting","Warner Bros. Interactive Entertainment","NetherRealm Studios",8.8,0.71,5
"GC","Fighting","Atari","Pipeworks Software, Inc.",7.5,0.71,10
"GC","Strategy","Konami","Konami",4.4,0.71,11
"PS4","Action-Adventure","Warner Bros. Interactive Entertainment","TT Fusion",6,0.71,2
"PS4","Platform","Sony Interactive Entertainment","SIE Japan Studio",8.5,0.71,10
"GC","Platform","VU Games","Equinoxe",5,0.71,11
"PS3","Puzzle","Atlus","Atlus",7.9,0.71,7
"XB","Action-Adventure","Microsoft Game Studios","Rare Ltd.",8.1,0.71,6
"X360","Racing","Codemasters","Codemasters",9.1,0.71,5
"PS","Shooter","Acclaim Entertainment","Appaloosa Interactive",1.7,0.71,9
"XB","Shooter","Activision","Nerve Software",8.2,0.71,10
"XOne","Shooter","Electronic Arts","PopCap Games",7.6,0.71,2
"PSP","Adventure","Warner Bros. Interactive","Traveller's Tales",7.5,0.71,6
"WiiU","Role-Playing","Capcom","Capcom",8.7,0.71,3
"GBA","Action","Majesco","Virtucraft",6.9,0.7,9
"PS2","Action","Gathering of Developers","Illusion Softworks",6.5,0.7,1
"PSP","Action","Activision","Vicarious Visions",6.4,0.7,3
"PS2","Shooter","Eidos Interactive","Free Radical Design",9.1,0.7,10
"X360","Racing","Ubisoft","Ubisoft Reflections",8.1,0.7,9
"PC","Simulation","Electronic Arts","The Sims Studio",7.2,0.7,3
"Wii","Misc","Warner Bros. Interactive","TT Games / Harmonix Music Systems",6.8,0.7,11
"PC","Music","Ubisoft","Ubisoft San Francisco",9,0.7,10
"3DS","Role-Playing","Capcom","Marvelous",8.1,0.7,9
"PC","Role-Playing","Unknown","Trion Worlds",8.3,0.7,3
"XB","Role-Playing","Microsoft Game Studios","BioWare Corp.",9,0.7,4
"PS","Role-Playing","Square EA","SquareSoft",6.2,0.7,11
"GBA","Strategy","Nintendo","Intelligent Systems",9.4,0.7,9
"GC","Sports","Activision","Neversoft Entertainment",9,0.7,10
"DS","Sports","EA Sports","Exient Entertainment",7,0.7,9
"PSP","Platform","Sony Computer Entertainment","SIMS",6.6,0.7,3
"GBA","Platform","Buena Vista","A2M",7.9,0.7,10
"DS","Adventure","Capcom","Capcom",7.7,0.7,2
"X360","Sports","EA Sports","EA Canada",8.8,0.7,9
"GBA","Adventure","Nintendo","Nintendo EAD",6.6,0.7,10
"GC","Sports","EA Sports","EA Tiburon",9.2,0.7,8
"PS3","Action","Activision","Bizarre Creations",6.2,0.7,11
"PS3","Action","Activision","Luxoflux Corp.",6.5,0.7,6
"PS2","Action","Midway Games","Midway Studios Los Angeles",8,0.69,9
"X360","Sports","Ubisoft","Ubisoft Milan",4.1,0.69,11
"NS","Platform","Ubisoft","Ubisoft Montpellier",4.5,0.69,9
"Wii","Platform","Nintendo","HAL Laboratory",8,0.69,9
"PS3","Platform","Sony Computer Entertainment","Sanzaru Games",8.7,0.69,11
"3DS","Party","Nintendo","Nd Cube Co., Ltd.",5,0.69,11
"GC","Fighting","Atari","Pyramid",6.8,0.69,10
"NS","Shooter","Warner Bros. Interactive Entertainment","Epic Games",8.5,0.69,11
"XB","Shooter","Microsoft Game Studios","Bungie Studios",8.6,0.69,7
"PSP","Action","Konami","Kojima Productions",6.9,0.69,11
"GC","Action","Electronic Arts","Hypnos Entertainment, Inc.",8.7,0.69,11
"PS3","Sports","2K Sports","2K Czech",8.2,0.69,3
"X360","Action","Activision","Raven Software",7.1,0.69,5
"PSP","Racing","THQ","Rainbow Studios",7.3,0.69,2
"PS3","Simulation","505 Games","Gaijin Entertainment",8,0.69,9
"XOne","Misc","Bethesda Softworks","Tango Gameworks",7.9,0.69,10
"PS","Fighting","Square EA","Light Weight",7.5,0.68,2
"X360","Sports","Electronic Arts","EA Canada",8.2,0.68,9
"PS2","Role-Playing","Interplay","Black Isle Studios",7.8,0.68,1
"PS4","Racing","Codemasters","Codemasters Birmingham",5.9,0.68,7
"PS2","Role-Playing","Bandai","CyberConnect2",7.5,0.68,5
"PS3","Action","Sega","Secret Level",5.1,0.68,5
"PS","Action","LucasArts","LucasArts",6.8,0.68,10
"WiiU","Platform","Ubisoft","Ubisoft Montpellier",9.5,0.68,9
"PS","Role-Playing","Konami","Konami",8.5,0.68,9
"X360","Racing","Atari","Eden Studios",6.8,0.68,2
"PSP","Sports","Sony Computer Entertainment","Clap Hanz",8,0.68,6
"PSP","Sports","EA Sports","EA Tiburon",8,0.67,8
"PC","Role-Playing","Electronic Arts","BioWare / Demiurge Studios",9.1,0.67,5
"NS","Action","Blizzard Entertainment","Blizzard Entertainment",9,0.67,11
"PS","Shooter","Konami","Appaloosa Interactive",6.5,0.67,11
"DS","Misc","Nintendo","Genius Sonority Inc.",4,0.67,6
"PS3","Shooter","Midway Games","Epic Games",8.6,0.67,12
"PS","Role-Playing","Sony Computer Entertainment","Media.Vision",6.5,0.67,4
"PS3","Racing","Electronic Arts","Slightly Mad Studios",8.4,0.67,3
"DS","Simulation","Electronic Arts","The Sims Studio",7.5,0.67,10
"PS3","Simulation","Ubisoft","Ubisoft Romania",6.8,0.67,12
"PC","Shooter","Activision","Infinity Ward",8.8,0.67,11
"WiiU","Action-Adventure","Disney Interactive Studios","Avalanche Software",7.6,0.67,8
"GBA","Adventure","Buena Vista","Amaze Entertainment",6.8,0.67,11
"PC","Strategy","Sega","The Creative Assembly",8.5,0.67,2
"PS3","Platform","Activision","Treyarch",6.6,0.67,5
"PS3","Misc","Sony Computer Entertainment","SCEE London Studio",6.5,0.66,11
"GC","Simulation","Electronic Arts","Maxis",7.9,0.66,12
"DS","Role-Playing","Square Enix","Square Enix",7.7,0.66,3
"PS2","Role-Playing","Konami","Konami Computer Entertainment Tokyo",6.3,0.66,1
"PS","Role-Playing","Take-Two Interactive","Delphine Software International",6.7,0.66,1
"PS","Role-Playing","Sony Computer Entertainment","Contrail",8.1,0.66,3
"PC","Strategy","Electronic Arts","EA Los Angeles",8.2,0.66,10
"PSP","Fighting","THQ","Yuke's",7.8,0.66,12
"PS3","Sports","Sega","Sega Studios Australia",6.2,0.66,6
"PS3","Sports","Ubisoft","Ubisoft Montreal",6,0.66,11
"PS3","Action","Tecmo Koei","Tecmo Koei Games",4.8,0.66,11
"X360","Action","Konami","Mercury Steam",7.9,0.66,10
"PSP","Platform","THQ","Locomotive Games",6.6,0.66,6
"GBA","Platform","Disney Interactive Studios","Artificial Mind and Movement",8.3,0.66,9
"GC","Platform","Activision","Toys for Bob",6.8,0.66,5
"PS3","Sports","EA Sports","EA Canada",7.9,0.66,4
"PS3","Sports","Electronic Arts","EA Canada",8.3,0.66,9
"X360","Sports","EA Sports","EA Canada",9.1,0.66,9
"PSP","Racing","THQ","Rainbow Studios",5.6,0.65,12
"GC","Racing","Nintendo","Amusement Vision",8.4,0.65,8
"PSP","Platform","THQ","Heavy Iron Studios",7.7,0.65,6
"NS","Platform","Warner Bros. Interactive Entertainment","TT Fusion",8,0.65,4
"PSP","Action","Activision","Savage Entertainment",4.3,0.65,6
"PS","Shooter","Hasbro Interactive","Leaping Lizard Software Inc.",5.9,0.65,4
"X360","Misc","Microsoft Game Studios","Krome Studios / Screenlife Games",7.6,0.65,10
"GBA","Strategy","Nintendo","Intelligent Systems",8.8,0.65,6
"Wii","Shooter","Activision","Beenox",5.6,0.65,11
"PC","Shooter","Ubisoft","Ubisoft Montreal",8.5,0.65,11
"PS3","Sports","EA Sports","EA Tiburon",8.5,0.65,8
"PS2","Platform","Buena Vista","Avalanche Software",6.3,0.65,10
"PS2","Adventure","Electronic Arts","Electronic Arts",6.7,0.65,11
"DS","Adventure","THQ","5TH Cell",7.4,0.65,10
"PS3","Fighting","Tecmo Koei","Team Ninja",7.6,0.65,2
"PS2","Role-Playing","Sony Online Entertainment","Snowblind Studios",7.7,0.65,2
"PSP","Role-Playing","Square Enix","TOSE Software",7.5,0.65,10
"X360","Sports","EA Sports","EA Tiburon",8.3,0.65,6
"PS3","Action","Capcom","Capcom",6.1,0.64,10
"Wii","Action","Conspiracy Entertainment","Epicenter Studios",7.4,0.64,8
"X360","Fighting","Namco Bandai","Spike",6,0.64,11
"PS2","Action","Activision","GenePool",5.8,0.64,4
"Wii","Strategy","Nintendo","Nintendo EAD",7.7,0.64,3
"WiiU","Music","Ubisoft","Ubisoft Paris",7.5,0.64,10
"XB","Shooter","Rockstar Games","Remedy Entertainment",8.6,0.64,11
"PS3","Shooter","Capcom","Capcom",6.3,0.64,2
"3DS","Platform","Ubisoft","Ubisoft",6.3,0.64,3
"GBA","Misc","Konami","KCEA",8,0.64,3
"N64","Platform","Konami","KCEK",7.6,0.64,1
"GBA","Platform","Vivendi Games","Vicarious Visions",6.7,0.64,6
"N64","Platform","Ubisoft","Ubisoft",9,0.64,10
"PSP","Action","Sierra Entertainment","SuperVillain Studios",6.3,0.64,10
"Wii","Misc","MTV Games","Harmonix Music Systems",9.2,0.64,10
"PS3","Action","Deep Silver","Techland",6.6,0.64,4
"X360","Action","Electronic Arts","Pandemic Studios",5.9,0.63,1
"NS","Action","Warner Bros. Interactive Entertainment","Traveller's Tales",6.5,0.63,6
"PSP","Action","Sega","Artificial Mind and Movement",5,0.63,5
"PS","Strategy","Electronic Arts","Climax Group",8.5,0.63,10
"PS3","Shooter","Activision","Raven Software",7.2,0.63,8
"PS3","Role-Playing","Square Enix","Cavia Inc.",6.6,0.63,4
"GC","Misc","Namco","Mass Media",5.3,0.63,10
"X360","Action","Activision","Luxoflux Corp.",6.1,0.63,6
"PS2","Role-Playing","Atlus","Atlus",8.7,0.63,4
"X360","Sports","2K Games","Firaxis Games",8.8,0.63,10
"PC","Action-Adventure","Ubisoft","Ubisoft Montreal",8.5,0.63,11
"N64","Platform","Activision","Traveller's Tales",6.1,0.63,4
"PS2","Platform","Ubisoft","SCE Japan Studio",8,0.63,6
"PC","Simulation","Electronic Arts","The Sims Studio",6.5,0.63,5
"GBA","Simulation","Ubisoft","MTO",4.1,0.63,11
"PS3","Racing","Atari","Eden Studios",6.9,0.63,2
"3DS","Action","Disney Interactive Studios","TT Fusion",7,0.63,5
"X360","Action","LucasArts","Traveller's Tales",8.2,0.63,9
"X360","Adventure","Sega","Monolith Productions",8.2,0.63,3
"PS3","Sports","Activision","Neversoft Entertainment",7.9,0.63,11
"PS2","Role-Playing","Activision","Raven Software",8.5,0.63,9
"PS3","Role-Playing","D3 Publisher","Level 5",5.4,0.63,9
"PC","Role-Playing","Electronic Arts","BioWare Corp.",7.9,0.63,3
"PS3","Action","Disney Interactive Studios","Disney Interactive Studios",7.4,0.62,10
"GC","Sports","EA Sports","EA Tiburon",8.5,0.62,8
"GC","Action","Capcom","Clover Studio",9.4,0.62,10
"X360","Platform","THQ","Heavy Iron Studios",5.3,0.62,6
"PC","Adventure","Eidos Interactive","Core Design Ltd.",7.3,0.62,11
"DS","Adventure","Capcom","Capcom",7.9,0.62,10
"Wii","Racing","Nintendo","Paon Corporation",4.8,0.62,10
"N64","Racing","Electronic Arts","Paradigm Entertainment, Electronic Arts",9.2,0.62,3
"PS4","Racing","Deep Silver","Codemasters",8,0.62,8
"PS3","Misc","Sony Computer Entertainment","Supermassive Games Ltd.",6.1,0.62,9
"PS3","Sports","2K Sports","Visual Concepts",8.3,0.62,10
"PSP","Platform","Sony Computer Entertainment","High Impact Games",7.5,0.62,11
"X360","Action","Atari","Terminal Reality",7.7,0.62,6
"PS3","Shooter","Bethesda Softworks","Artificial Mind and Movement",6.9,0.62,9
"Wii","Misc","Activision","FreeStyle Games",8.7,0.62,10
"PS3","Fighting","Namco Bandai","Spike",5,0.62,10
"PS2","Role-Playing","Sony Computer Entertainment","Media.Vision",7.6,0.62,10
"PS4","Role-Playing","Square Enix","Square Enix",6.7,0.62,10
"X360","Action","Ubisoft","Ubisoft Montreal",7.5,0.62,5
"XB","Action","Konami","Konami Computer Entertainment Japan",8.7,0.62,11
"PS2","Action","KOEI","Omega Force",5.6,0.61,9
"PS3","Sports","Activision","Robomodo / Buzz Monkey Software",4.5,0.61,11
"DS","Strategy","Nintendo","Intelligent Systems",8.4,0.61,1
"Wii","Strategy","Nintendo","Nintendo EAD",8.7,0.61,6
"XB","Shooter","Electronic Arts","Valve Software",8.9,0.61,11
"Wii","Shooter","Nintendo","Retro Studios",9,0.61,8
"PS3","Shooter","Sega","PlatinumGames",8.5,0.61,10
"GBA","Misc","Nintendo","Nintendo",6.4,0.61,10
"GC","Sports","EA Sports","EA Sports",8.6,0.61,11
"PS3","Role-Playing","CDV Software Entertainment","Ascaron Entertainment",7.1,0.61,5
"GBA","Role-Playing","Square Enix","Square Enix",8.6,0.61,12
"GBA","Adventure","Electronic Arts","Magic Pockets",6,0.61,11
"X360","Sports","Konami","Konami",6,0.61,10
"X360","Sports","Activision","Robomodo / Buzz Monkey Software",4.4,0.61,11
"PSP","Action","Ubisoft","Ubisoft Montreal",3.9,0.61,12
"GBA","Action","Atari","Webfoot Technologies",5.9,0.61,9
"PS2","Fighting","Eidos Interactive","Paradox Development",6,0.6,10
"X360","Fighting","Ubisoft","AMA Studios",3.2,0.6,11
"PS2","Racing","Ubisoft","Ubisoft",6.7,0.6,9
"PS2","Platform","Sony Computer Entertainment","Sanzaru Games",7,0.6,5
"X360","Racing","Disney Interactive Studios","Black Rock Studio",8.4,0.6,5
"X360","Racing","Microsoft Game Studios","Bizarre Creations",8.8,0.6,11
"PS","Role-Playing","Konami","Konami",8.2,0.6,12
"X360","Action","Activision","Traveller's Tales",5.2,0.6,6
"GC","Racing","Nintendo","Nintendo Software Technology Corporation",8.4,0.6,11
"X360","Sports","2K Sports","Visual Concepts",8.4,0.6,9
"PSP","Action","D3 Publisher","Monkey Bar Games",5.2,0.6,10
"X360","Shooter","Ubisoft","Techland",7.6,0.6,6
"PS2","Shooter","Sierra Entertainment","Gearbox Software",8.4,0.6,11
"GC","Shooter","Electronic Arts","EA Los Angeles",8,0.59,11
"PC","Shooter","Electronic Arts","EA Redwood Shores",8.8,0.59,10
"N64","Sports","Midway Games","Point of View",7.8,0.59,10
"PS3","Sports","EA Sports","EA Canada",8.8,0.59,9
"3DS","Role-Playing","Square Enix","Square Enix",7.3,0.59,1
"PS3","Strategy","2K Games","Firaxis Games",9.1,0.59,10
"PC","Action","Ubisoft","Ubisoft Montreal",8.7,0.59,3
"X360","Action","Ubisoft","Ubisoft Montreal",7.6,0.59,11
"DS","Racing","Ubisoft","Gameloft",5,0.59,11
"X360","Racing","Activision","Bizarre Creations",8.3,0.59,5
"X360","Action","Activision","High Moon Studios",7.3,0.59,6
"PS2","Misc","MTV Games","Harmonix Music Systems",7.9,0.59,11
"GC","Platform","Universal Interactive","Traveller's Tales",6,0.59,9
"DS","Shooter","Activision","n-Space",7,0.59,11
"PS3","Fighting","Sony Computer Entertainment","ColdWood Interactive",4.7,0.59,11
"DS","Misc","Nintendo","Intelligent Systems",8.3,0.59,3
